,hs_class,text
11001,positive, saya sendiri berpendapat tak semua manusia sempurna ada yang dilahirkan cacat ada yang terencat dan sepe i keadaan lgbt mereka ada masalah secara batin alhamdulillah ke ranah kita ada agama kita tau kenapa kita tak boleh nak
11002,negative, mana datanya banyak bacot saja 
11003,positive, dulu banget ada tetapi karena memutuskan terjun sebagai kontra rezim foto foto lama sudah dihapusi jadi hanya tinggal memori gumpalan pixel abang telat sih kenapa tidak follow dari dulu he 
11004,negative, iya dizaman jokowi indonesia tambah mundur
11005,positive,ass tahun 2024 pasti presiden baru
11006,positive, kalau mengepal kontol itu kamu enak 
11007,negative,baru tau ada akun mempromosikan gigolo pas dilihat yang minat booking laki lah dijadikan gay fix yang punya akun bencong najis ngentot 
11008,negative, tidak jelas kamu kampang 
11009,positive, gue tidak bisa ngewe anjir 
11010,positive, ini islam tapi pikiran fasis sekaligus komunis yang benar hanya satu menurut dia kita bukan hewan kita manusia yang punya hak berpikir perbedaan adalah rahmah 
11011,positive, kalau itu tidak ada perdebatan hindu nusantara yang benar 
11012,positive, dengar dengar di morowali sana lagi buka lowongan kerja sebanyak kalau 8000 pekerja tetapi isu yang beredar menguatkan bahwa pekerja yang bakal diterima cuma 2000an inikah penyebabnya dan kendari adalah
11013,negative, begokkkkkk dasar otak onta pikiran mesummm rakyat yang sudah tercekik ekonomi makin dicekik dengan pajak semakin tinggi tetapi pemerintah daerah daerah khusus ibu kota dan dewan perwakilan rakyat daerah foya foya dengan duit pajak 
11014,negative,hehe masih aktif kok sudah berpolitik susilo bambang yudhoyono saja mundur dulu mundur saja pak jenderal gatot uniform resource locator
11015,positive, awas ada yang menggeranyangi silit mu nder 
11016,negative, sepe inya dia dari nu cabang kristen 
11017,negative,lebaran presiden baru 1 punya massa 2 punya wibawa 3 punya strategi sidang istimewa lengserkan jokowi sebelum lebaran
11018,positive, itu a inya aku yahudi 
11019,positive, lagi cerita cerita begitu dan dan xf0 x9f x91 xa6 iya kalau di kristen kan ada rabu abu kamis putih jumat agung dan xf0 x9f x91 xa9 sabtu dan xf0 x9f x91 xa6 jalan yuk dan lauk amatttttt xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 
11020,positive,keterangan para ulama menulis bahwa syarat untuk memperbaharui wuduk ialah wuduk lama itu telah digunakan untuk mana mana ibadat bazl ul majhud 
11021,positive, iya tapi katolik church punya lah haha 
11022,negative, maklum namanya juga bani pinggiran koreng 
11023,positive, seharusnya ulama itu bersifat surat pemberitahuan tahunan gus mus andaikan ulama sekarang ini sifatnya surat pemberitahuan tahunan gus mus negara dan rakyat ini akan tenang tausiah dan kata katanya sangat beradab dan mendinginkan suasana tidak mengadu domba sesama muslim dengan prin
11024,negative, iya tetapi apakah islam mengusik tetapi namanya juga cebong tidak resek tidak asyik xf0 x9f xa4 xaa xf0 x9f xa4 xaa xf0 x9f xa4 xaa 
11025,negative, zon zon cocot kok miring terus 
11026,positive,ya ampun ini rupiah asing banget kepada 
11027,positive,siapa yang menawari b prabowo coba sebut kalau tidak subut mungkin cuma hoaks saja x
11028,positive,banci anjr wkwk uniform resource locator
11029,positive,pak berfoto ramah bareng para hater kami ganjar yasin
11030,positive,jokowi apresiasi bandara ke ajati cepat selesai
11031,positive,1 penetrasi gubernur jawa tengah jawa tengah non aktif ganjar pranowo ke kementerian pe anian kementerian pe ahanan membuahkan hasil lupa boleh ngawur jangan pilihan gubernur 2018 kami ganjar yasin ganjar yasin 1 jawa tengah gayeng 1 kali lagi pak ai demokrasi indonesia perjuangan kandang banteng
11032,negative,giring ganesha pengagum diktator jokowi
11033,negative, kalau merasa kitab kalian di nista laporkan apa hubungannya dengan demo mewaspadai cebong kafir yang mengakui mengakui islam 
11034,negative, kacau ini era kacau lagi yang sudah pada tau tapi diam karena sudah kontrak jadi jongos asing asing naked 
11035,negative, xe2 x9c x85 he mata kamu lah kok kira aku ini apa ku colokan mata kamu mampus kamu 
11036,positive,karyawan depot kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah 2018 damai
11037,positive,info terbaru berita berita ekonomi bisnis keuangan dan perbankan
11038,negative,rupiah haneul bejat suka memek muka berondong yang on retweet 
11039,positive, kafir pada pandangan astaga biasanya dikaitkan dengan kafir yang allah gelarkan pada syaitan yang membawa maksud ingkar perintah allah bukan bermakna keluar dari islam 
11040,negative,kantor lebih dikepung massa takut dikuak pokoknya ganyang pak ai komunis indonesia
11041,positive, tidak boleh jangan sampai makan coklat dulu anjing saya malah mencret begitu untung tidak apa apa 
11042,negative, pesan yang saya tangkap dari cebong liberal anti islam adalah jangan gunakan islam dalam berpolitik pisahkanlah agama dari politik dan itu strategi basi ala o
11043,negative, pak ai islam bro yang benar benar tau dosanya bukan satu kasus ini tiga kasus ternyata kaum munafik lebih parah dari orang kafir 
11044,negative, aku katakan anjing kepada ahmad dani boleh aku katakan babi kepada ahmad dhani boleh 
11045,negative,jangankan banjir tuhan saja dilawan sama ahok jaka abanjir tapi jaka a hari ini bukan banjir hanya genangan 
11046,positive,ayo kawan kita bersama naik delman atau onta kita sama sama pergi ke bulaaaannn 
11047,negative, banyak bacot kamu ini bahasa sekitar 
11048,positive,berbeda sedikit dibanding selama era jokowi pada era 1971 88 cina dan as tak terlibat secara langsung penyingkiran islam pada era itu dominan dilakukan oleh rezim orde baru csis elite tionghoa katolik radikal tanpa pak isipasi komunitas tionghoa dan sempat
11049,negative, suara orang mati kok masih dipakai buat legitimasi dasar rezim cebong dungu 
11050,negative,prabowo mau bantu rohingya ri harus disegani uniform resource locator uniform resource locator
11051,positive,gubernur sosialisasikan asian games kepada masyarakat se kecamatan sako
11052,positive,bobotoh persib terlalu agung hanya untuk bermusuhan dengan super er kampungan persibday persib juara 
11053,positive,gianluigi buffon sudah tepat diusir wasit michael oliver kata presiden uefa
11054,negative, bagaimana rasanya nyabu bang 
11055,negative,terdiam dengan hasil pemilihan kepala daerah daerah khusus ibu kota 2017 benarkah anies sandi menang karena sara 
11056,positive, katanya pemerintah lagi menjunjung tinggi seni dan budaya tradisional tapi faktanya belum terasa cirebon seni tari topeng 
11057,positive,1 siang hari ini presiden memimpin rapat terbatas di istana kepresidenan bogor dengan topik perkembangan persiapan asian games xviii tahun 2018 jokowi pacu promosi asian games ayo promosikan asian games 2018
11058,negative, prabowo sih mulut busuk dia cuma sampah negara bisa nya cuma bikin gaduh
11059,negative,rakyat dukung usut tuntas kasus anies bwsdn sandiaga uno juga anggota dewan perwakilan rakyat majelis permusyawaratan rakyat dewan perwakilan rakyat daerah para penguasa elite politik yang terlibat korupsi
11060,negative,lengserkan tito sudah tidak beres kepala kepolisian republik indonesia masak buat sp i itu semua yang berlawanan dengan ahok dan dek jokowi dikriminalisasi
11061,positive, pasti sebab itu cina
11062,positive, apa kamu bual sompret 
11063,negative,gubraaaaak malu lihatnya untung semalam debat tidak kayak mata najwa coba kalau formatnya sama pasti ringsek sudah pasangan anjing 
11064,positive, aku percaya kok mereka itu sebenarnya baik cuma karena hasutan manusia tapi mirip iblis saja jadi mereka memandang saya xe2 x80 xa6 
11065,positive,ancaman demi ancaman ku dapat dari pacarku saat dia menelepon ya aku memang sendiri di kota yang asing ini wajar jika aku takut dengan ancamannya ku pikir pikir kembali dan akhirnya aku memutuskan untuk kembali dengan pacarku dan melepaskan teman kan
11066,positive,pe umbuhan ekonomi indonesia lua al i 2018
11067,positive, bom takjil itu adalah 
11068,negative, memang macam bangsat ya teman terkutuk macam itu untung bulan puasa hehe 
11069,positive,silakan simak gubernur indonesia pak be emu presiden salat jum at bersama 
11070,negative,bacot kamu member karma 
11071,positive, aku ingat dulu pernah pura pura sakit biar diperhatikan alias anjing bangsat jadi sakit benaran kan berengsek 
11072,positive, begini saja terus sampai titit kamu copot yang xf0 x9f x99 x82 
11073,positive, ingin kamu kontol sambil ngentot sama suami uniform resource locator
11074,negative,eh sori banget nih milton j bennet kamu apa punya s3 kalau cuma mau bilang simpati sama empati sama sama penting goblok 
11075,positive,kalau kenalan terus gue bilang dari kalimantan orang pada mengira gue dayak atau cina xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 
11076,positive, semua bukan cuma menteri anggota dewan perwakilan rakyat yang ingkar saat rapat potong tunjangan dan gajinya 
11077,negative, sih cebong sudah kebanyakan makan tahi jokowi dia baru sadar kalau nanti jokowi sudah mengumumkan indonesia diubah menjadi indonesia cina 
11078,positive, namanya anak buah iblis muslim taat dimusuhi muslim bermaksiat dipuji puji pembela negeri dia benci penjilat asing dia hormati 
11079,positive, wkwk jahat adalah edan 
11080,positive,hai guys tidak kerasa ya 70 hari lagi penentuan masa depan majalengka 5 tahun ke depan tidak mau lagi pajak mahal tidak mau lagi susah cari pekerjaan tidak mau lagi berobat susah tidak mau lagi biaya pendidikan mahal tidak mau lagi jalan banyak rusak tidak mau lagi e
11081,negative, sekumpulan teman penista agama tidak ada empati buat korban banjir hanya koar koar memuji jujungannya hype ext transfer protocol over secure socket layer t co xqfktdg74x
11082,positive,presiden bersama ulama siapapun yang dipilih rakyat itulah kehendak allah subhanahu wa taala negara indonesia akan semakin kokoh apabila ulama dan umara selalu beriringan se a menjaga silaturahmi jokowi bersama ulama kitab suci bukan fiksi
11083,positive, dalam sejarah politik indonesia dikenal pergerakan 3 angkatan dan n1 angkatan 1945 yang memperjuangkan kemerdekaan dan n2 angkatan 1966 dengan tuntutan tritura bubarkan pak ai komunis indonesia turunkan harga harga rombak kabinet dan n3 angkatan 1998 dengan tuntutan repo
11084,negative, alah istana di kuasai cina hancur sudah rakyat indonesia
11085,negative,begitulah media yahudi antek dajjal penjilat kalau tidak menggoreng isu mereka kelaparan semangat terus bang jonru abaikan cebong yang sakit otak
11086,negative, tinggalkan bicara tentang pak ai komunis indonesia mari kita fokus ke 2019 ganti presiden jadikan sebagai the next presiden
11087,positive,sejak awal janji kampanye nya bulan jae in memang memperbaiki hubungan dengan korea utara kok makanya dia pilih approach untuk hold proyek ustaz sejak masa kampanye dan yang bikin runyam hubungan korsel korea utara tahun lalu ya karena congor trump saja 
11088,negative, sedekah tapi garap imbalan wkwk otak ganti presiden memang somplak 
11089,positive,fakta keterlibatan laskar hitam terlihat di mau dengan menyelenggarakan sunat paksa terhadap semua lelaki tionghoa di mau selapangan dan lain lain 
11090,positive,yahudi lobi wali allegation out qadiani lobi wali in 
11091,positive, lompat wesss perasaan tidak bawa taplak merah 
11092,negative,asma dewi tersangka hate speech ternyata loyalis prabowo amp anies sandi jejak digi 
11093,negative, kalau setingan tidak mungkin lah gue memilih iya itu sama saja kayak mencemplung ke got bego 
11094,positive, aktivis 65 itu adalah yang bersama sama pak apa o menumpas pak ai komunis indonesia 
11095,positive, ya allah benar banget dunia sesak kejam guys member tidak punya fanbase kuat atau sultan ya sudah hanya berharap pada push manajemen yang pasti pilih pilih 
11096,negative, he kontol jangan sok pemes kamu di rupiah muka kayak memek orang tua kamu kayak monyet agama kamu saja agama kontol 9
11097,positive, babi itu makhluk allah 
11098,positive, nih memek setiap hari sange mulu 
11099,positive,laptop gue sudah dari 2 bulan lalu tidak selesai selesai di service katanya cuma 2 minggu setan 
11100,positive, pak lihat beda pemahaman islam antara gus mus dan ba asyir isi alquran harus anda buat jelas
11101,negative, lah kamu umat apa umat iblis intinya adalah ada ribuan orang dirugikan oleh bajingan sialan kok ya masih ada yang bela begitu saja 
11102,positive,air tebu sebelum viral pun harga yahudi sudah viral nanti harga nazi ke acaner 
11103,negative,tabrakan kapal dan pembohong besar bangsa indonesia itu kerja jokowi kodok undercover
11104,positive,kita berbangga kita bersyukur karena pemerintah kita berhasil mengambil alih 51 divestasi saham pt fi yang tidak berbangga dan tidak bersyukur adalah mafia tambang dan antek orde baru yang pullulan tahun berkomplot dengan asing menguras dan merampok k
11105,negative,usss kok belum banget sih mereka xf0 x9f x98 xad 
11106,positive, lihat onta di menamai tersinggung 
11107,positive,mata sipit mau marah mau senang mau melirik mau apa saja tetap segaris haha enak nya sih mata sipit 
11108,negative,video diduga perang teroris buddha yang kocar kacir melawan pe ahanan pemuda muslim minoritas rohingya 
11109,negative, rezim utang pencitraan demi berkuasa kembali rezim kampretttt 
11110,negative,usir cina ganyang cina
11111,negative, antek komunis biadab jongos cina
11112,positive,sudah lupa cara menikmati makan enak yang penting kenyang sajahhhhh sekarang gembel xf0 x9f x98 xac 
11113,negative, ibu pasti wanita wanita belum tentu jadi ibu goblok keahlian cebong hanya 1 tukang tipu cebong adalah begitu goblok tidak ketulungan plonga plongo mengakibatkan optimisme berlebihan 2019 ganti presiden plonga plongo dun
11114,negative, ribut harga mulu perasaan gue sih harga telur sama daging dari jaman pekerja seks komersial susilo bambang yudhoyono sampai sekarang sebegitu sebegitu saja telur doang dua puluh empat ribu kg masa tidak bisa beli tidak bisa beli daging burger harga promo mulu itu 
11115,positive, tidak punya kontol mas 
11116,negative,terciduk juga nih kunyuk proses hukum saja tidak usah pakai matre uniform resource locator
11117,positive, yang menjadi masalah saat ini orang orang mempolitisasi isu isu islam nusantara bahkan ada yang sampai bilang sesat kafir dan lain lain ini yang jadi persoalan ketika isu isu sepe i itu dipolitisasi untuk kepentingan politik kalau hanya dalam perbedaan pendapat ya sila
11118,positive, rejim atau pemerintahan yang berasal dari pemilihan umum luber jujur adil jangankan aktivis semua warga negara wajib mendukung pemerintah negaranya 
11119,negative, padahal jokowi tugasnya cuma membagikan 2019 ganti presiden
11120,positive,cari makan dari eksploitasi agama adalah puncak kejahatan yang bisa dilakukan oleh manusia siapa yang bisa melakukan itu hanya menunggu kesempatan untuk melakukan kejahatan lain 
11121,positive,tolong entot silit ku dong om faiz nardhi bambang priyo ridwan kasihan firdaus 
11122,positive,pastinya jokowi sayangi papua
11123,positive, ngewe terus kerja kamu sekali kali dong sama kita kita hehe 
11124,positive,ikut melestarikn sebagai salah satu geopark di dunia
11125,negative, kehancuran prabowo dibuatnya sendiri dia merobek dirinya sendiri emosi mu menghancurkan dirimu
11126,negative, mas cebong di kolam istana masih pada hidup sudah sekarat atau pada mati intelligence quotient 200 sekolam cebong
11127,positive,lalu mereka yang teriak teriak jokowi pro asing asing oh soeha o tidak soeha o memberikan konsesi ke freepo untuk eksploitasi tambang emas tembaga di papua yang amat sangat menguntungkan freepo indonesia hanya kebagian saham 8 5 dan royalti 1 
11128,negative, mbok kalau tau bego jangan ngebegoin orang lain begitu lah be anya dulu ke yang ahli 
11129,negative,sinyal cacat hilang hilangan melulu memang kamu jauh lebih baik daripada hem haha 
11130,positive,depan cermin bukan main elok buat pusing bagai cuba dalam gambar itu hai cacat haha 
11131,positive, tapi ulet nya bikin gatal gatal tidak mak mak kok suka memelihara yang aneh aneh tuyul juga mak piara 
11132,negative, dia manusia produk dungunya pangkat dungu akibat lahir dungu otaknya jadi dungu wajahnya pun dungu karena suka hina semua dengan dungu 
11133,positive, tidak rela kunyuk bahagia pagi ini 
11134,positive, ah bom asjbnjadng 
11135,positive,masih bagus kalau kalau ia putus dengan cara baik baik oka kerap meninggalkan perempuan yang berstatus pacarnya dan jalan dengan perempuan lain dan iya dalam pohon yang sempurna pasti ada satu daun cacat 
11136,negative, matanajwadebatjaka a pak anies sudah meninggalkan ketenangan dan ketulusannya dalam debat malam ini menjadi agitatif dan licik semoga kalah kamu anjing
11137,positive, oke begitu bagaimana nih nder mata gue juga sipit nih nder xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 
11138,positive,ganteng banget anjir gue menggelepar 
11139,positive,bangkai menemukan saja orang orang yang bisa bikin te awa di twitter 
11140,positive, mungkin dititah ku sih gunawan kamu asri mengakui kunyuk jadi aku nu kena kehed 
11141,negative, yang unggah medianya cebong yang feeder cebong yang komen cebong kapan kamu jadi kodok kalau kamu cebong terus 
11142,positive,rupiah haneul teteknya sering diremas monyet yang on retweet 
11143,positive,agen dan harga tiket bus po ramayana
11144,positive, asing ongseng nikmat mana lagi yang kamu dustakan wkwk jangan lupa bersyukur itu lah hilang keyakinan sekarang 
11145,negative,umat buddha juga harus di usir di indonesia uniform resource locator
11146,positive,jika anda ikut silakan 
11147,negative, iya sih kayak komunis banget wkwk 
11148,positive,zaman now segalanya jelas dan data sudah jelas jika klaimnya benar kasih jika klaimnya tidak benar tidak usah repot jangan ganti presiden 2019 nanti juga ketahuan makhluk makhluk yang jago melintir fakta haiz hidup kok mencari penderitaan kerja woi biar dapur bisa dan
11149,negative,wah kalau di indonesia bisa diboikot itu banknya iran negara islam saja terima uang cina uniform resource locator
11150,positive, sabtu ceria karena sudah akhir pekan lagi nih mixagrip mau bagi bagi hadiah buat kamu mixagrip explore budaya 2 tahun ini mau kemana 1 like dan follow facebook twitter dan instagram mixagrip 2 tulis jawabanmu di kolom komen beri tagar sabtu ceria dan mention 3 orang
11151,negative,amin ya rabi lengserkan jokowi 
11152,positive,ngentot bosku 
11153,positive,tengok buku buku yang kak nisa baca aku sedar yang aku tak baca sebegitu variasi tajuk aku baca palestina saja 5 bulan nih dan aku bodoh sudah hai 
11154,positive,menulis tentangmu adalah cara ku mencintaimu bukan mulutku bisu namun aku mengibaratkan aksara adalah keabadian dikenang ash 
11155,negative,sumpah ya ini railink depan gue ingin gue timpuk pakai apapun tai 
11156,positive,jadi begini rasanya setelah pergi saling asing terus be emu kembali lebih seru wkwk 
11157,negative, anjir berengsek bajingan gila sih kamu gue gange i sih kalau jadi kamu dan ternyata ada yang lebih parah dari mantan gue anjir wkwk dan sudah sekarang fokus exo yang jelas jelas membuat kita bahagia 
11158,negative,sama fren jaringan nya kok berengsek ya 
11159,positive,dulu orang bikin karya dulu baru terkenal sekarang kebalikannya sulit silit 
11160,positive, keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot di hadapan pese a rapat kerja cabang khusus kota gunung sitoli gubernur zaman now djarot syiar 2 sumatra utara pilih dua hebat djarot syiar menang gunung sitoli pak ai demokrasi indonesia perjuangan
11161,negative,barisan serba guna kan hobi juga maunya bela kafir makanya sih abu janda apakah benar muslim atau bukan 
11162,positive,badan pengawas pemilihan umum kolaka te inggi pelanggaran aparatur sipil negara dalam pilihan kepala daerah
11163,negative,tau kenapa kalau anda bicara tumpas pak ai komunis indonesia komunis dan antek pasti anda akan diserang ya karena yang serang anda itulah pak ai komunis indonesia cuma pak ai komunis indonesia yang lindungi pak ai komunis indonesia
11164,negative, dasar muka tai babi lah mau tenar agama di bawa bawa kalau berani jangan bagikan di media sosial umat siapa pun kalau agama nya di hina hina pasti marah besar dengan mudah nya langsung meminta maaf ayo front pembela islam buruh dan cari o
11165,positive, tidak lah kan gue sudah tege nih no titit 
11166,positive,terus kalau ada bacot bacot di grup kalau dia sudah berbicara pasti pada setuju semua 
11167,negative,yang ada dipikirannya hanya kekuasaan tidak peduli rakyatnya kayak apa 2019 ganti presiden
11168,positive, menyelamatkan fundamental ekonomi ke arah lebih baik adalah mulia daripada tidak paham kalau junjungannya 2010 2014 telah mewariskan bencana ekonomi
11169,positive,kh anis maftukhin kemudian menjelaskan latar belakang berdirinya pondok pesantren amp visinya menurutnya pondok yang berdiri baru 6 bulan lalu ini tidak dipungut biaya pengajarnya pun juga tidak dibayar pondok pesantren ini selain belajar ilmu islam juga mengajarkan i
11170,negative,bersikap keraslah terhadap mereka cina kafir uniform resource locator
11171,positive, perum cikeas permai ds cikeas udik kecamatan begini putri bogor listriknya padam pak pada banyak rumah tolong dicek terima kasih 
11172,positive,pembangunan overpass di proyek jalan tol manado bitung ambruk selasa siang simak beragam informasi ekonomi amp bisnis terkini dalam cnn indonesia business saat ini bersama di 
11173,positive, kafir zindiq itu kafir yang terpaksa jadi muslim karena keturunan hukum syariat sama tekanan sosial islam kakak kamu tanda penduduk 
11174,negative, manusia manusia iblis yang meminta komisi pemberantasan korupsi itu di bubarkan kalau komisi pemberantasan korupsi bubar manusia 2 iblis ini pasti senang hati 
11175,positive,presiden mengajak masyarakat untuk membawa negara ini pada kebudayaan politik yang penuh dengan etika politik yang menyatukan bukan politik yang memecah belah bukan politik yang membawa perpecahan bukan politik yang saling menghujat mencela maupun mema
11176,positive,sudirman said meluncurkan
11177,positive, titit mu 
11178,negative, lebih kesal gue sama komandan cai dan antek anteknya sok banget kamu pada 
11179,negative,apa setelah kunjungan ini menteri agama mampu membantah islam mendungukan membiadabkan umatnya 
11180,positive, yang manapun itu bahkan organ manusia pun termasuk benda asing bagi organ manusia yang lain apalagi benda mati macam sabun 
11181,positive, penilaian orang berbeda dikhawatirkan rakyat tidak bisa memahami pak ai yang berhubungan baik dengan komunis belum tentu komunis saya hanya ingin meluruskan 
11182,positive, kebelet ngentot di kamar mandi xf0 x9f x98 x8d nurl
11183,negative, lah anda yang dari awal tidak bisa berargumen membicarakan kacung menyambung ke cebong kan goblok dan kamu cari dulu a i kacung baru menyambung lagi 
11184,negative, bacot apanya gue mengulang perkataan gue gara gara kamu budek 
11185,negative, pengikut mli pada kayak tai nih giliran twit tidak lucu dibilangnya gue yang admin giliran twit lucu malah dibilang twit xe2 x80 xa6 
11186,positive,atau 25 persen suara sah nasional untuk mengusung calon presiden dan wakil presiden 
11187,positive, itu kan american culture bro jangan memaksa nilai nilai asing lah 
11188,negative, haha benar kamu giliran majikan dia mesum 7 tahun sih kunyuk diam sok suci pula memaki memikirkan sex muka lacur kamu kunyuk 
11189,negative, seharusnya kita malu di indonesia baru ada gubernur cina
11190,negative, berengsek kamu lama lama jadi ber politik 
11191,positive, ini kadang yang membuat aku sedih tapi gemas dari kedua sisi sama saja mereka teraduk defensif dan saling bela buta adukan ini kadang membuat aku entah bagaimana terbayang masa itu dan masa tenang tau tau ada bombardir senapan dan sesi
11192,positive,masih mau ganti presiden 2019 tetap jokowi
11193,positive, sudah tidak pusing lagi ayo nanti fc monyet 
11194,negative, x relevant muslim tapi buat kerja kafir yang terkutuk 
11195,negative,antek antek orde baru hobi gunakan isu pak ai komunis indonesia kejahatan orde baru memberikan kepada asing kekayaan alam kita sepe i freepo kepada as kerjanya me ua prabowo
11196,positive,jadi yang antek asing itu sudah bicara belum soal impo bawang putih dan itu tentu tidak kan sama junjugannya 
11197,negative, polisi sebagai alat kekuasaan rezim 2019 ganti presiden
11198,positive, saat nya kita lihat mana suara yang menuduh pak antek asing dan jadi kita tau kan sebenarnya dan mereka lah yang sekarang ribut ribut menyerang pak deh dengan keberhasilan merebut 51 dari freepo dan itulah antek asing dan bahkan disuruh sama
11199,positive,cina bukit ajak membawang yel xf0 x9f x98 x82 
11200,positive,misal bikin 3 besar gubernur paling berprestasi itulah yang dipilih rakyat dengan mekanisme itu siapapun gubernur yang jelas prestasinya nyata bukan hasil pencitraan bisa jadi pres dan pasti bukan melulu orang jawa 
11201,negative,ya itu namanya calon wakil gubernur goblok tidak nge i peraturan debat kelihatan bego dan liciknya itu sandiaga uno 
11202,negative, golongan kaum bani kampret sepe i katak dalam tempurung teriak tong kosong kampanye ganti presiden tapi tak tau nama pengganti nya siapa menjual rongsokan tak bernilai congor kampret nya yang gede 
11203,negative,kapan bikin film bakar bakar sekolahan buat pencitraan pak uniform resource locator
11204,negative, ulama cebong wajah suram 
11205,positive, bola mata nya lumayan gede tapi bentuk mata nya sipit begituuu sini kasih aku dolar 
11206,positive,band metal main di acara akustik memang pintar sih yang penting manggung terus tetap produktif berak sebesar helm cebok segelas 
11207,positive, anjir gue juga lupa sih kelewatan benar anjing jarinya sampai gue mute pokoknya dia sadar gue mute oke pokoknya terakhir jadi bella kalau tidak salah dnanya 
11208,positive,nurul arifin ingin menghidupkan kembali budaya sunda 
11209,positive,itu kamu yang dilakukan oppa oppa korea tapi banyak yang bilang oppa korea banci tapi masa banci ikut militeran 2 tahun uniform resource locator
11210,negative,ada orang tionghoa yang menggunakan ijazah palsu dan lalu mengakui tokoh masyarakat tionghoa sesungguhnya dia adalah sampah di tg pinang dan agama kristen tapi sering di wihara itu nama nya munafik bagi muslim 
11211,negative, giliran berita yang kayak begini para cebong bermunculan dari kolam tetapi kemarin saat presiden kita dihina kalian para cebong pura pura tuli dan bisu ternyata cinta kalian palsu 
11212,positive, niatnya mandi bareng eh ngentot juga uniform resource locator
11213,negative,ih gila nirina bego banget 
11214,negative, komunis anjing wkwk 
11215,negative,prabowo subianto calon presiden abadi gagal maju uniform resource locator
11216,positive, pe amina rugi badan penyelenggara jaminan sosial rugi garuda rugi perusahaan listrik negara rugi mayoritas badan usaha milik negara rugi jalan tol pada ambruk bensin mahal listrik mahal pajak mencekik telur mahal daging mahal beras impor garam impor cangkul impor tenaga kerja asing asing merajalela dan prestasi
11217,positive,zaman susilo bambang yudhoyono biaya makan sekeluarga dalam sehari cukup rupiah 50 000 zaman sekarang rupiah 120 000 sekolah dasar rupiah 150 000 baru cukup gaji pegawai negeri sipil sudah 4 tahun tidak naik kasihan nasib rakyat yang gajinya rata rata dua juta sekolah dasar 3 juta mumet mereka mungkin mereka berdoa oh lamanya
11218,negative, dasar kunyuk nih mencari duit modal menipu bangsat abu 
11219,positive, masak citra tenaga kerja indonesia selalu sepe i itu diaspora kita dahsyat dahsyat kamu 
11220,negative,bajingan bangsat kamu bukan siapa siapa kok sombong banget 
11221,positive,mantan itu perlu di kasih bunga biar lebih sok sweet sedikit bunga bangkai maksudnya 
11222,positive,allah boleh buat kedudukan kamu dari setinggi langit sehingga sehina longkang busuk yang dipandang jijik oleh semua orang 
11223,negative, berengsek kamu gue tak mau di sontot sama mesofil 
11224,negative, wajah anak kamu kelihatan banget ya penuh dendam dan kebencian pasti anak anak kamu makan dari hasil uang haram bapaknya kayak kamu banci dan rumpi kamu memaki gue makan tai nah kamu dan istri se a anak anak dan o kamu kamu makan bangkai uang haram
11225,positive,semakin kagum dengan gubernur rasa presiden ini luar biasa sama brilian lugas tegas dan tidak perlu pura pura nge tes staf nya 
11226,positive, apa tidak bosan bergaya monoton dari tahun satu sampai 2018 kok gaya jualan citra dengan pasang wajah melas terus rakyat saja xe2 x80 xa6 
11227,positive,tiga kali be urut turut tidak melaksanakan salat jumat sudah termasuk golongan orang kafir dan kemuliaan hari jumat 
11228,positive, apalagi disela sela meja atau lemari tempat menyelempit begitu juga harus berkali kali disapu biar tidak buat tempat bernaung kecoa atau dibuat tempat tai cicak 
11229,negative, tambah songong saja di bencong halu tidak usah di memberitakan apa min 
11230,positive, woi alah te awa terus sih anjir hari ini wkwk 
11231,positive,deklarasi pilihan kepala daerah 2018 aman dan anti hoaks karyawan bank bank rakyat indonesia jabon
11232,positive,tidak cuma 2 anak papua yang digendong tapi 8000 rebu anak papua dijadikan anak asuh 
11233,positive, jadi ingat tanah abang trotoar dan sampah 
11234,positive,pengusaha media sosial harus dipastikan kenetralannya dalam pilihan kepala daerah dan pemilihan presiden
11235,positive, dengar kabar newmont ntb dilacurkan ke cina apakah itu benar 
11236,positive,personil provost kepolisian sektor pringsewu kota brigadir polisi kepala viktor i patroli keamanan objek vital di jalan kesehatan dan menyampaikan pesan keamanan dan kete iban masyarakat kepada petugas parkir koperasi kredit gentiaras pringsewu
11237,positive,siapa bilang ekonomi indonesia baik baik saja 
11238,positive, gue pernah nih jaman sama ketinggalan bis sekolah jadi naik bis umum terus posisi gue berdiri dari pe sama naik sampai turun pas lagi berdiri pantat gue di towel towel anjiiiing karena gue tidak lemah lembut kayak kamu itu tangannya diam diam langsung gue cengk
11239,positive, nanti sembunyikan setan lah mending main bareng sudoku saja deh 
11240,negative, jonru ini di lindungi sama kelompok prabowo subianto rekan polisi saja tidak berani menghukum orang ini dan bebas pergi kemana mana
11241,positive,karena kondisi sudah malam gue sudah letih kalau cape suasana hati juga tidak keruan kan gue jadi merasa te antang abangnya sudah lumayan jauh mana kondisi jalan padat banyak mobil dan motor tetapi entah setan mana yang bikin gue emosi gue pun ngebut sulap selusup 
